T1595	Активное сканирование
T1133	Внешние службы удаленного доступа
T1189	Теневая (drive-by) компрометация
T1199	Доверительные отношения
T1190	Недостатки в общедоступном приложении
T1200	Подключение дополнительных устройств
T1072	Средства развертывания ПО
T1047	Инструментарий управления Windows
T1203	Эксплуатация уязвимостей в клиентском ПО
T1133	Внешние службы удаленного доступа
T1197	Задания BITS
T1068	Эксплуатация уязвимостей для повышения привилегий
T1207	Поддельный контроллер домена
T1221	Внедрение в шаблоны
T1112	Изменение реестра
T1197	Задания BITS
T1212	Эксплуатация уязвимостей для получения учетных данных
T1187	Принудительная аутентификация
T1649	Кража или подделка сертификатов аутентификации
T1007	Изучение системных служб
T1135	Изучение общих сетевых ресурсов
T1033	Изучение владельца или пользователей системы
T1482	Изучение доверительных отношений между доменами
T1083	Изучение файлов и каталогов
T1018	Изучение удаленных систем
T1046	Изучение сетевых служб
T1518	Изучение установленного ПО
T1049	Изучение сетевых подключений
T1201	Изучение парольной политики
T1012	Запросы к реестру
T1654	Сбор журналов
T1057	Изучение процессов
T1124	Изучение системного времени
T1082	Изучение системы
T1080	Заражение общего содержимого
T1210	Эксплуатация уязвимостей в удаленных службах
T1072	Средства развертывания ПО
T1570	Передача инструментов внутри периметра
T1039	Данные с общих сетевых дисков
T1071	Протокол прикладного уровня
T1571	Нестандартный порт
T1573	Зашифрованный канал
T1095	Протоколы (кроме прикладного уровня)
T1665	Сокрытие инфраструктуры
T1008	Резервные каналы
T1105	Передача инструментов из внешней сети
T1219	ПО для удаленного доступа
T1572	Туннелирование протокола
T1104	Отдельный канал для каждого этапа
T1029	Передача по расписанию
T1041	Эксфильтрация по каналу управления
T1489	Остановка службы
T1529	Завершение работы или перезагрузка системы
T1496	Несанкционированное использование ресурсов
